                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.91089,                0.76719,                0.94619,                0.76798,                 0.3548,                0.44054,                0.24778,                 2.0628,                  1.546,                 1.8331,              0.0001467,              0.0001467,              0.0001467
                    137,                0.86914,                0.74594,                0.96265,                0.64258,                0.38501,                0.43644,                0.24864,                 2.0665,                 1.5405,                 1.8398,             0.00014583,             0.00014583,             0.00014583
                    138,                0.87719,                0.75059,                0.93833,                0.67124,                0.38274,                0.44082,                0.24689,                 2.0562,                 1.5338,                 1.8186,             0.00014497,             0.00014497,             0.00014497
                    139,                0.88177,                0.75524,                0.94266,                0.67055,                0.39943,                0.44998,                0.24543,                 2.0465,                 1.5266,                 1.7846,              0.0001441,              0.0001441,              0.0001441
                    140,                0.85296,                0.75053,                0.95743,                 0.7168,                0.40122,                0.46032,                0.24632,                  2.057,                 1.5234,                 1.7854,             0.00014323,             0.00014323,             0.00014323
                    141,                0.89725,                0.76178,                0.96731,                0.73981,                0.39462,                0.44347,                0.23707,                 2.0646,                 1.5116,                  1.801,             0.00014236,             0.00014236,             0.00014236
                    142,                0.89782,                0.80214,                0.96272,                 0.7109,                0.38798,                0.43965,                0.23689,                 2.0614,                 1.5114,                 1.7976,             0.00014149,             0.00014149,             0.00014149
                    143,                0.93244,                0.79669,                0.96183,                0.70147,                 0.3747,                0.44133,                0.24195,                 2.0529,                 1.5084,                 1.7971,             0.00014063,             0.00014063,             0.00014063
                    144,                0.86468,                0.70643,                0.96259,                0.75233,                 0.3781,                0.44332,                0.23774,                  2.049,                 1.5025,                 1.8174,             0.00013976,             0.00013976,             0.00013976
                    145,                0.88645,                0.71798,                0.95689,                0.74105,                0.38555,                0.45982,                0.24167,                 2.0595,                 1.4838,                 1.8381,             0.00013889,             0.00013889,             0.00013889
                    146,                0.86039,                0.74842,                 0.9523,                0.74513,                 0.3909,                0.46727,                0.24716,                 2.0378,                  1.476,                 1.8149,             0.00013802,             0.00013802,             0.00013802
                    147,                0.86191,                 0.7451,                0.96407,                0.74014,                0.40436,                 0.4943,                0.25834,                 2.0225,                 1.4819,                 1.7823,             0.00013715,             0.00013715,             0.00013715
