                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1892,                 1.1719,                 1.0701,                0.54154,                 0.4302,                0.47322,                0.27483,                 1.9292,                 1.6965,                 1.5478,              0.0001184,              0.0001184,              0.0001184
                     57,                 1.1529,                 1.1707,                 1.0857,                0.48693,                0.49734,                0.50601,                0.28306,                 1.8954,                 1.6618,                 1.5284,             0.00012006,             0.00012006,             0.00012006
                     58,                 1.0991,                 1.1285,                 1.0541,                0.52371,                0.49749,                0.50462,                0.28009,                 1.9154,                 1.6389,                 1.5439,             0.00012171,             0.00012171,             0.00012171
                     59,                 1.0634,                 1.1937,                 1.0055,                0.57459,                0.48168,                0.52483,                0.28711,                 1.9194,                 1.6127,                 1.5459,             0.00012334,             0.00012334,             0.00012334
                     60,                 1.0514,                 1.0643,                 1.0428,                0.62267,                0.48201,                0.53657,                0.29073,                 1.9102,                 1.5582,                 1.5505,             0.00012496,             0.00012496,             0.00012496
                     61,                 1.0436,                  1.071,                 1.0173,                0.59507,                0.50287,                0.54033,                0.29416,                 1.8955,                 1.5292,                 1.5369,             0.00012656,             0.00012656,             0.00012656
                     62,                 1.1178,                 1.1133,                 1.0758,                0.65258,                0.45072,                0.53693,                0.29825,                 1.9103,                 1.5091,                 1.5472,             0.00012814,             0.00012814,             0.00012814
                     63,                 1.0539,                 1.0666,                 1.0233,                0.57321,                 0.4991,                0.52903,                0.29628,                 1.9349,                 1.5291,                 1.5763,              0.0001297,              0.0001297,              0.0001297
                     64,                 1.0262,                 1.0617,                 1.0293,                0.51446,                0.49954,                0.50878,                0.28779,                 1.9286,                 1.5639,                  1.598,             0.00013124,             0.00013124,             0.00013124
                     65,                 1.0285,                 1.0875,                 0.9995,                0.68432,                0.38931,                0.49387,                0.28439,                  1.937,                 1.5741,                  1.622,             0.00013277,             0.00013277,             0.00013277
                     66,                0.98191,                  1.005,                 1.0049,                0.54459,                0.46751,                0.50918,                0.28651,                 1.9402,                 1.5642,                  1.627,             0.00013428,             0.00013428,             0.00013428
                     67,                      1,                 0.9588,                 1.0111,                0.52103,                0.45264,                0.49072,                0.27762,                 1.9486,                 1.5173,                   1.63,             0.00013577,             0.00013577,             0.00013577
                     68,                 1.0156,                0.97635,                 1.0045,                 0.5761,                 0.4597,                0.51495,                0.28718,                 1.9726,                 1.4851,                 1.6406,             0.00013725,             0.00013725,             0.00013725
                     69,                 1.0071,                 0.9668,                 1.0285,                0.64865,                0.43402,                0.50151,                0.28304,                 1.9703,                  1.466,                 1.6388,             0.00013871,             0.00013871,             0.00013871
                     70,                 1.0018,                0.95537,                 1.0274,                0.60959,                0.45435,                0.50698,                0.29159,                 1.9382,                  1.479,                 1.6254,             0.00014015,             0.00014015,             0.00014015
